experiment,dataset,method,hyperparameter,seed,split,lp1,ar1,source_file,command
exp2,Food-101,selected=Frozen,5,1,validation_then_test,0.88,,artifacts/rs4z_fast/selection_raw.json,python scripts/59_rs4z_selection_sim.py
exp2,Food-101,selected=Frozen,5,2,validation_then_test,0.875,,artifacts/rs4z_fast/selection_raw.json,python scripts/59_rs4z_selection_sim.py
exp2,Food-101,selected=Frozen,5,3,validation_then_test,0.8767,,artifacts/rs4z_fast/selection_raw.json,python scripts/59_rs4z_selection_sim.py
exp2,Food-101,selected=Frozen,5,4,validation_then_test,0.875,,artifacts/rs4z_fast/selection_raw.json,python scripts/59_rs4z_selection_sim.py
exp2,Food-101,selected=Frozen,5,5,validation_then_test,0.8733,,artifacts/rs4z_fast/selection_raw.json,python scripts/59_rs4z_selection_sim.py
exp2,Food-101,selected=Frozen,5,6,validation_then_test,0.88,,artifacts/rs4z_fast/selection_raw.json,python scripts/59_rs4z_selection_sim.py
exp2,Food-101,selected=Frozen,5,7,validation_then_test,0.8717,,artifacts/rs4z_fast/selection_raw.json,python scripts/59_rs4z_selection_sim.py
exp2,Food-101,selected=Frozen,5,8,validation_then_test,0.8783,,artifacts/rs4z_fast/selection_raw.json,python scripts/59_rs4z_selection_sim.py
exp2,Food-101,selected=Frozen,5,9,validation_then_test,0.88,,artifacts/rs4z_fast/selection_raw.json,python scripts/59_rs4z_selection_sim.py
exp2,Food-101,selected=Frozen,10,0,validation_then_test,0.8849,,artifacts/rs4z_fast/selection_raw.json,python scripts/59_rs4z_selection_sim.py
exp2,Food-101,selected=Frozen,10,1,validation_then_test,0.874,,artifacts/rs4z_fast/selection_raw.json,python scripts/59_rs4z_selection_sim.py
exp2,Food-101,selected=Frozen,10,2,validation_then_test,0.8749,,artifacts/rs4z_fast/selection_raw.json,python scripts/59_rs4z_selection_sim.py
exp2,Food-101,selected=Frozen,10,3,validation_then_test,0.8785,,artifacts/rs4z_fast/selection_raw.json,python scripts/59_rs4z_selection_sim.py
exp2,Food-101,selected=Frozen,10,4,validation_then_test,0.8767,,artifacts/rs4z_fast/selection_raw.json,python scripts/59_rs4z_selection_sim.py
exp2,Food-101,selected=Frozen,10,5,validation_then_test,0.8704,,artifacts/rs4z_fast/selection_raw.json,python scripts/59_rs4z_selection_sim.py
exp2,Food-101,selected=Frozen,10,6,validation_then_test,0.8758,,artifacts/rs4z_fast/selection_raw.json,python scripts/59_rs4z_selection_sim.py
exp2,Food-101,selected=Frozen,10,7,validation_then_test,0.8685,,artifacts/rs4z_fast/selection_raw.json,python scripts/59_rs4z_selection_sim.py
exp2,Food-101,selected=Frozen,10,8,validation_then_test,0.8767,,artifacts/rs4z_fast/selection_raw.json,python scripts/59_rs4z_selection_sim.py
exp2,Food-101,selected=Frozen,10,9,validation_then_test,0.8785,,artifacts/rs4z_fast/selection_raw.json,python scripts/59_rs4z_selection_sim.py
exp2,Food-101,selected=Frozen,20,0,validation_then_test,0.8869,,artifacts/rs4z_fast/selection_raw.json,python scripts/59_rs4z_selection_sim.py
exp2,Food-101,selected=Frozen,20,1,validation_then_test,0.8835,,artifacts/rs4z_fast/selection_raw.json,python scripts/59_rs4z_selection_sim.py
exp2,Food-101,selected=Frozen,20,2,validation_then_test,0.8835,,artifacts/rs4z_fast/selection_raw.json,python scripts/59_rs4z_selection_sim.py
exp2,Food-101,selected=Frozen,20,3,validation_then_test,0.8802,,artifacts/rs4z_fast/selection_raw.json,python scripts/59_rs4z_selection_sim.py
exp2,Food-101,selected=Frozen,20,4,validation_then_test,0.8869,,artifacts/rs4z_fast/selection_raw.json,python scripts/59_rs4z_selection_sim.py
exp2,Food-101,selected=Frozen,20,5,validation_then_test,0.8791,,artifacts/rs4z_fast/selection_raw.json,python scripts/59_rs4z_selection_sim.py
exp2,Food-101,selected=Frozen,20,6,validation_then_test,0.8735,,artifacts/rs4z_fast/selection_raw.json,python scripts/59_rs4z_selection_sim.py
exp2,Food-101,selected=Frozen,20,7,validation_then_test,0.8723,,artifacts/rs4z_fast/selection_raw.json,python scripts/59_rs4z_selection_sim.py
exp2,Food-101,selected=Frozen,20,8,validation_then_test,0.8735,,artifacts/rs4z_fast/selection_raw.json,python scripts/59_rs4z_selection_sim.py
exp2,Food-101,selected=Frozen,20,9,validation_then_test,0.869,,artifacts/rs4z_fast/selection_raw.json,python scripts/59_rs4z_selection_sim.py
exp3,multiple,derived-from-paper-table,,,,,,paper/EGA.tex#tab:ood_summary,"no new command; arithmetic on paper table, see regime_results.md"
